city,county,county_cat
Acalanes Ridge,Contra Costa,urban
Acampo,San Joaquin,urban
Acton,Los Angeles,urban
Adelanto,San Bernardino,urban
Adin,Modoc,rural
Agoura Hills,Los Angeles,urban
Agua Dulce,Los Angeles,urban
Aguanga,Riverside,urban
Ahwahnee,Madera,rural
Airport,Stanislaus,suburban
Alameda,Alameda,urban
Alamo,Contra Costa,urban
Albany,Alameda,urban
Albion,Mendocino,rural
Alderpoint,Humboldt,rural
Alhambra,Los Angeles,urban
Alhambra Valley,Contra Costa,urban
Aliso Viejo,Orange,urban
Alleghany,Sierra,rural
Allendale,Solano,suburban
Allensworth,Tulare,suburban
Almanor,Plumas,rural
Alondra Park,Los Angeles,urban
Alpaugh,Tulare,suburban
Alpine,San Diego,urban
Alpine Village,Alpine,rural
Alta,Placer,suburban
Alta Sierra,Nevada,rural
Altadena,Los Angeles,urban
Alto,Marin,suburban
Alturas,Modoc,rural
Alum Rock,Santa Clara,urban
Amador,Amador,rural
American Canyon,Napa,suburban
Amesti,Santa Cruz,suburban
Anaheim,Orange,urban
Anchor Bay,Mendocino,rural
Anderson,Shasta,suburban
Angels,Calaveras,rural
Angwin,Napa,suburban
Antelope,Sacramento,urban
Antioch,Contra Costa,urban
Anza,Riverside,urban
Apple Valley,San Bernardino,urban
Aptos,Santa Cruz,suburban
Aptos Hills-Larkin Valley,Santa Cruz,suburban
Arbuckle,Colusa,rural
Arcadia,Los Angeles,urban
Arcata,Humboldt,rural
Arden-Arcade,Sacramento,urban
Armona,Kings,rural
Arnold,Calaveras,rural
Aromas,Monterey,suburban
Aromas,San Benito,rural
Arroyo Grande,San Luis Obispo,suburban
Artesia,Los Angeles,urban
Artois,Glenn,rural
Arvin,Kern,suburban
Ashland,Alameda,urban
Aspen Springs,Mono,rural
Atascadero,San Luis Obispo,suburban
Atherton,San Mateo,urban
Atwater,Merced,suburban
Auberry,Fresno,urban
Auburn,Placer,suburban
Auburn Lake Trails,El Dorado,rural
August,San Joaquin,urban
Avalon,Los Angeles,urban
Avenal,Kings,rural
Avery,Calaveras,rural
Avilla Beach,San Luis Obispo,suburban
Avocado Heights,Los Angeles,urban
Azusa,Los Angeles,urban
Baker,San Bernardino,urban
Bakersfield,Kern,suburban
Baldwin Park,Los Angeles,urban
Ballard,Santa Barbara,suburban
Ballico,Merced,suburban
Bangor,Butte,suburban
Banning,Riverside,urban
Barstow,San Bernardino,urban
Bass Lake,Madera,rural
Bay Point,Contra Costa,urban
Bayview,Contra Costa,urban
Bayview,Humboldt,rural
Beale AFB,Yuba,rural
Bear Creek,Merced,suburban
Bear Valley,Alpine,rural
Bear Valley,Mariposa,rural
Bear Valley Springs,Kern,suburban
Beaumont,Riverside,urban
Beckwourth,Plumas,rural
Belden,Plumas,rural
Bell Canyon,Ventura,urban
Bell,Los Angeles,urban
Bell Gardens,Los Angeles,urban
Bella Vista,Shasta,suburban
Bellflower,Los Angeles,urban
Belmont,San Mateo,urban
Belvedere,Marin,suburban
Ben Lomond,Santa Cruz,suburban
Benbow,Humboldt,rural
Bend,Tehama,rural
Benicia,Solano,suburban
Benton,Mono,rural
Berkeley,Alameda,urban
Bermuda Dunes,Riverside,urban
Berry Creek,Butte,suburban
Bertsch-Oceanview,Del Norte,rural
Bethel Island,Contra Costa,urban
Beverly Hills,Los Angeles,urban
Bieber,Lassen,rural
Big Bear,San Bernardino,urban
Big Bear Lake,San Bernardino,urban
Big Bend,Shasta,suburban
Big Creek,Fresno,urban
Big Lagoon,Humboldt,rural
Big Pine,Inyo,rural
Big River,San Bernardino,urban
Biggs,Butte,suburban
Biola,Fresno,urban
Bishop,Inyo,rural
Black Point-Green Point,Marin,suburban
Blackhawk,Contra Costa,urban
Blacklake,San Luis Obispo,suburban
Blairsden,Plumas,rural
Bloomfield,Sonoma,suburban
Bloomington,San Bernardino,urban
Blue Lake,Humboldt,rural
Bluewater,San Bernardino,urban
Blythe,Riverside,urban
Bodega Bay,Sonoma,suburban
Bodega,Sonoma,suburban
Bodfish,Kern,suburban
Bolinas,Marin,suburban
Bombay Beach,Imperial,suburban
Bonadelle Ranchos-Madera Ranchos,Madera,rural
Bonita,San Diego,urban
Bonny Doon,Santa Cruz,suburban
Bonsall,San Diego,urban
Boonville,Mendocino,rural
Bootjack,Mariposa,rural
Boron,Kern,suburban
Boronda,Monterey,suburban
Borrego Springs,San Diego,urban
Bostonia,San Diego,urban
Boulder Creek,Santa Cruz,suburban
Boulevard,San Diego,urban
Bowles,Fresno,urban
Boyes Hot Springs,Sonoma,suburban
Bradbury,Los Angeles,urban
Bradley,Monterey,suburban
Brawley,Imperial,suburban
Brea,Orange,urban
Brentwood,Contra Costa,urban
Bret Harte,Stanislaus,suburban
Bridgeport,Mono,rural
Brisbane,San Mateo,urban
Broadmoor,San Mateo,urban
Brookdale,Santa Cruz,suburban
