rank,city,population
1,Los Angeles,"3,898,747"
2,San Diego,"1,386,932"
3,San Jose,"1,013,240"
4,San Francisco,"873,965"
5,Fresno,"542,107"
6,Sacramento,"524,943"
7,Long Beach,"466,742"
8,Oakland,"440,646"
9,Bakersfield,"403,455"
10,Anaheim,"346,824"
11,Stockton,"320,804"
12,Riverside,"314,998"
13,Santa Ana,"310,227"
14,Irvine,"307,670"
15,Chula Vista,"275,487"
16,Fremont,"230,504"
17,Santa Clarita,"228,673"
18,San Bernardino,"222,101"
19,Modesto,"218,464"
20,Moreno Valley,"208,634"
21,Fontana,"208,393"
22,Oxnard,"202,063"
23,Huntington Beach,"198,711"
24,Glendale,"196,543"
25,Santa Rosa,"178,127"
26,Elk Grove,"176,124"
27,Ontario,"175,265"
28,Rancho Cucamonga,"174,453"
29,Oceanside,"174,068"
30,Lancaster,"173,516"
31,Garden Grove,"171,949"
32,Palmdale,"169,450"
33,Salinas,"163,542"
34,Hayward,"162,954"
35,Corona,"157,136"
36,Sunnyvale,"155,805"
37,Pomona,"151,713"
38,Escondido,"151,038"
39,Roseville,"147,773"
40,Torrance,"147,067"
41,Fullerton,"143,617"
42,Visalia,"141,384"
43,Orange,"139,911"
44,Pasadena,"138,699"
45,Victorville,"134,810"
46,Santa Clara,"127,647"
47,Thousand Oaks,"126,966"
48,Simi Valley,"126,356"
49,Vallejo,"126,090"
50,Concord,"125,410"
51,Berkeley,"124,321"
52,Clovis,"120,124"
53,Fairfield,"119,881"
54,East Los Angeles,"118,786"
55,Richmond,"116,448"
56,Antioch,"115,291"
57,Carlsbad,"114,746"
58,Downey,"114,355"
59,Costa Mesa,"111,918"
60,Murrieta,"110,949"
61,San Buenaventura (Ventura),"110,763"
62,Temecula,"110,003"
63,Santa Maria,"109,707"
64,West Covina,"109,501"
65,El Monte,"109,450"
66,Inglewood,"107,762"
67,Burbank,"107,337"
68,El Cajon,"106,215"
69,San Mateo,"105,661"
70,Jurupa Valley,"105,053"
71,Daly City,"104,901"
72,Rialto,"104,026"
73,Norwalk,"102,773"
74,Menifee,"102,527"
75,Vacaville,"102,386"
76,Chico,"101,475"
77,Hesperia,"99,818"
78,Vista,"98,381"
79,Compton,"95,740"
80,Carson,"95,558"
81,San Marcos,"94,833"
82,Arden-Arcade,"94,659"
83,Mission Viejo,"93,653"
84,Redding,"93,611"
85,Santa Monica,"93,076"
86,Tracy,"93,000"
87,South Gate,"92,726"
88,Chino,"91,403"
89,San Leandro,"91,008"
90,Westminster,"90,911"
91,Hemet,"89,833"
92,Indio,"89,137"
93,Santa Barbara,"88,665"
94,Hawthorne,"88,083"
95,Livermore,"87,955"
96,Citrus Heights,"87,583"
97,Whittier,"87,306"
98,Merced,"86,333"
99,Lake Forest,"85,858"
100,Newport Beach,"85,239"
101,San Ramon,"84,605"
102,Redwood City,"84,292"
103,Buena Park,"84,034"
104,Manteca,"83,498"
105,Alhambra,"82,868"
106,Lakewood,"82,496"
107,Mountain View city,"82,376"
108,Folsom,"80,454"
109,Tustin,"80,276"
110,Milpitas,"80,273"
111,Pleasanton,"79,871"
112,Carmichael,"79,793"
113,Rancho Cordova,"79,332"
114,Napa,"79,246"
115,Bellflower,"79,190"
116,Upland,"79,040"
117,Perris,"78,700"
118,Chino Hills,"78,411"
119,Alameda,"78,280"
120,Pittsburg,"76,416"
121,Apple Valley,"75,791"
122,Redlands,"73,168"
123,Turlock,"72,740"
124,Dublin,"72,589"
125,Baldwin Park,"72,176"
126,Rocklin,"71,601"
127,Redondo Beach,"71,576"
128,Camarillo,"70,741"
129,Lake Elsinore,"70,265"
130,Union City,"70,143"
131,Walnut Creek,"70,127"
132,Yuba City,"70,117"
133,Eastvale,"69,757"
134,Tulare,"68,875"
135,Palo Alto,"68,572"
136,Yorba Linda,"68,336"
137,Lynwood,"67,265"
138,Davis,"66,850"
139,Castro Valley,"66,441"
140,Lodi,"66,348"
141,Madera,"66,224"
142,South San Francisco,"66,105"
143,Laguna Niguel,"64,355"
144,San Clemente,"64,293"
145,Brentwood,"64,292"
146,La Habra,"63,097"
147,Santa Cruz,"62,956"
148,Montebello,"62,640"
149,Porterville,"62,623"
150,Pico Rivera,"62,088"
151,Encinitas,"62,007"
152,Florence-Graham,"61,983"
153,San Rafael,"61,271"
154,La Mesa,"61,121"
155,Monterey Park,"61,096"
156,Woodland,"61,032"
157,Gardena,"61,027"
158,Cupertino,"60,381"
159,Santee,"60,037"
160,Petaluma,"59,776"
161,Gilroy,"59,520"
162,Hanford,"57,990"
163,Fountain Valley,"57,047"
164,Highland,"56,999"
165,Arcadia,"56,681"
166,South Whittier,"56,415"
167,National City,"56,173"
168,Diamond Bar,"55,072"
169,Huntington Park,"54,883"
170,Yucaipa,"54,542"
171,Hacienda Heights,"54,191"
172,West Sacramento,"53,915"
173,Colton,"53,909"
174,San Jacinto,"53,898"
175,Paramount,"53,733"
176,Novato,"53,225"
177,Beaumont,"53,036"
178,Watsonville,"52,590"
179,Glendora,"52,558"
180,Florin,"52,388"
181,Aliso Viejo,"52,176"
182,Placentia,"51,824"
183,Cathedral City,"51,493"
184,Delano,"51,428"
185,Covina,"51,268"
186,Rosemead,"51,185"
187,Palm Desert,"51,163"
188,El Dorado Hills,"50,547"
189,Cypress,"50,151"
190,Azusa,"50,000"
191,Lincoln,"49,757"
192,Cerritos,"49,578"
193,North Highlands,"49,327"
194,Ceres,"49,302"
195,Poway,"48,841"
196,Antelope,"48,733"
197,Rowland Heights,"48,231"
198,La Mirada,"48,008"
199,Rancho Santa Margarita,"47,949"
200,Newark,"47,529"
201,Brea,"47,325"
202,San Luis Obispo,"47,063"
203,Los Banos,"45,532"
204,Morgan Hill,"45,483"
205,Palm Springs,"44,575"
206,Lompoc,"44,444"
207,Rohnert Park,"44,390"
208,El Centro,"44,322"
209,Campbell,"43,959"
210,Vineyard,"43,935"
211,San Bruno,"43,908"
212,Danville,"43,582"
213,Oakley,"43,357"
214,Altadena,"42,846"
215,Rancho Palos Verdes,"42,287"
216,Coachella,"41,941"
217,Hollister,"41,678"
218,Culver City,"40,779"
219,San Gabriel,"39,568"
220,Bell Gardens,"39,501"
221,Pacifica,"38,640"
222,Calexico,"38,633"
223,La Puente,"38,062"
224,Adelanto,"38,046"
225,Stanton,"37,962"
226,Monrovia,"37,931"
227,Montclair,"37,865"
228,La Quinta,"37,558"
229,Martinez,"37,287"
230,Claremont,"37,266"
231,Wildomar,"36,875"
232,Temple City,"36,494"
233,Moorpark,"36,284"
234,Oildale,"36,135"
235,Foothill Farms,"35,834"
236,West Hollywood,"35,757"
237,Orangevale,"35,569"
238,Manhattan Beach,"35,506"
239,French Valley,"35,280"
240,San Juan Capistrano,"35,196"
241,La Presa,"35,033"
242,San Dimas,"34,924"
243,Pleasant Hill,"34,613"
244,Westmont,"33,913"
245,Foster City,"33,805"
246,Menlo Park,"33,780"
247,Bell,"33,559"
248,Los Gatos,"33,529"
249,Dana Point,"33,107"
250,Beverly Hills,"32,701"
251,Goleta,"32,690"
252,Fair Oaks,"32,514"
253,Desert Hot Springs,"32,512"
254,Seaside,"32,366"
255,Fallbrook,"32,267"
256,San Pablo,"32,127"
257,Orcutt,"32,034"
258,Atwater,"31,970"
259,Lawndale,"31,807"
260,Los Altos,"31,625"
261,El Paso de Robles (Paso Robles),"31,490"
262,Burlingame,"31,386"
263,Laguna Hills,"31,374"
264,La Verne,"31,334"
265,Saratoga,"31,051"
