,case,date,time,location,beat,bias
0,17-29506,01/31/2017,900,5700 BLOCK OF BROADWAY,6B,anti-black
1,17-38423,02/08/2017,1843,4000 BLOCK OF LA TARRIGA WAY,5B,anti-hispanic
2,17-41871,02/10/2017,2230,3600 BLOCK OF RIVERSIDE BLVD,4A,anti-islamic (muslim)
3,17-1803960,02/14/2017,1757,7400 BLOCK OF AMHERST ST,5A,anti-black
4,17-1802867,02/25/2017,2237,1400 BLOCK OF U ST,3A,anti-asian/pacific islander
5,17-64136,03/06/2017,1302,100 BLOCK OF 45TH ST,6D,anti-jewish
6,17-1805140,04/09/2017,1830,3400 BLOCK OF ALTOS AVE,2B,anti-transgender
7,17-106872,04/15/2017,2230,800 BLOCK OF 5TH AVE,4A,anti-black
8,17-1805447,04/18/2017,920,MACK RD / VALLEY HI DR,5C,anti-black
9,17-1806259,05/02/2017,200,2100 BLOCK OF AARON WAY,4B,anti-black
10,17-141312,05/19/2017,1130,6500 BLOCK OF 4TH AVE,6C,anti-black
11,17-147782,05/25/2017,2049,20TH ST / K ST,3B,anti-homosexual
12,17-170583,06/17/2017,0,1000 BLOCK OF 26TH ST,3B,anti-jew/anti-catholic
13,17-181751,06/28/2017,1624,1100 BLOCK OF DEL PASO BLVD,2C,anti-islamic (muslim)
14,17-200378,07/15/2017,1120,1700 BLOCK OF 16TH ST,3A,anti-transgender
15,17-206875,07/21/2017,1438,3200 BLOCK OFMARYSVILLE BLVD,2B,anti-other ethnicity/national origin
16,17-1810832,08/09/2017,2130,4400 BLOCK OF TRUXEL RD,1A,anti-black
17,17-1811343,08/22/2017,1930,4700 BLOCK OF 67TH ST,6C,anti-other ethnicity/national origin
18,17-1811370,08/22/2017,1630,300 BLOCK OF 13TH ST,3A,anti-homosexual
19,17-248941,08/30/2017,0,1200 BLOCK OF T ST,3A,anti-jewish
20,17-295016,10/11/2017,1055,8100 BLOCK OF GRANDSTAFF DR,5C,anti-black
21,17-1816500,12/05/2017,1215,1000 BLOCK OF 7TH ST,3M,anti-black
22,17-363871,12/20/2017,1700,6600 BLOCK OF BRUCEVILLE RD,5C,anti-islamic
23,18-18360,01/19/2018,09:53,6400 BLOCK OF JACINTO AVE,5C,anti-homosexual
24,18-26675,01/27/2018,00:50,1900 BLOCK OF Q ST,3B,anti-homosexual
25,18-27908,01/28/2018,09:47,4200 BLOCK OF 8TH AVE,6A,anti-religious
26,18-32605,02/01/2018,14:53,900 OF BLOCK DEL PASO BLVD,2C,anti-black
27,18-1805451,02/18/2018,13:21,1300 BLOCK OF 58TH ST,6D,anti-jewish
28,18-1802111,02/20/2018,15:20,1700 BLOCK OF K ST,3B,anti-black
29,18-71012,03/08/2018,12:45,5000 BLOCK OF 58TH ST,6B,anti-homosexual
30,18-1803164,03/13/2018,16:00,6300 BLOCK OF MACK RD,5C,anti-asian
31,18-78099,03/14/2018,18:48,1900 BLOCK OF L ST,3B,anti-homosexual
32,18-1805378,04/24/2018,17:30,28TH ST / N ST,3B,anti-black
33,18-1805816,05/03/2018,18:00,300 BLOCK OF U ST,3A,anti-homosexual
34,18-135815,05/06/2018,12:30,800 BLOCK OF T ST,3A,anti-religious
35,18-1806178,05/06/2018,01:36,36TH ST / H ST,6D,anti-black
36,18-152978,05/20/2018,00:00,I ST / 20TH ST,3B,anti-homosexual
37,18-161642,05/28/2018,23:03,O ST / 16TH ST,3B,anti-homosexual
38,18-167192,06/02/2018,17:54,1600 BLOCK OF F ST,3B,anti-homosexual
39,18-177258,06/11/2018,13:21,200 BLOCK OF 29TH ST,3B,anti-reproductive rights
40,18-196608,06/27/2018,21:05,1900 BLOCK OF L ST,3B,anti-homosexual
41,18-198454,06/29/2018,12:19,3700 BLOCK OF NORTHGATE BLVD,1C,anti-homosexual
42,18-211636,07/09/2018,08:22,8000 BLOCK OF FOLSOM BLVD,6E,anti-black
43,18-1809330,07/16/2018,19:30,2700 BLOCK OF NORMINGTON DR,1C,anti-hispanic
44,18-230850,07/24/2018,21:59,600 BLOCK OF ALHAMBRA BLVD,6D,anti-hispanic
45,18-243965,08/04/2018,14:24,6600 BLOCK OF MACK RD,5C,anti-homosexual
46,18-257564,08/14/2018,10:00,3000 BLOCK OF FREEPORT BLVD,4A,anti-black
47,18-261759,08/18/2018,19:32,1900 BLOCK OF L ST,3B,anti-homosexual
48,18-1812022,09/01/2018,20:35,1400 BLOCK OF GRAND AVE,2A,anti-white
49,18-1812396,09/11/2018,11:30,100 BLOCK OF GRACE AVE,2A,anti-hispanic
50,18-1812141,09/12/2018,19:12,300 BLOCK OF U ST,3A,anti-homosexual
51,18-304153,09/23/2018,02:18,2000 BLOCK OF J ST,3B,anti-homosexual
52,18-318482,10/05/2018,13:01,5900 BLOCK OF ELVAS AVE,6D,anti-catholic
53,18-1813574,10/10/2018,10:00,7000 BLOCK OF CRANLEIGH AVE,5C,anti-black
54,18-1814193,10/22/2018,17:13,2300 BLOCK OF STOCKTON BLVD,6B,anti-black
55,18-1814761,10/31/2018,19:00,1200 BLOCK OF FRONT ST,3M,anti-black
56,18-351248,11/03/2018,0:11,20TH ST / L ST,3B,anti-homosexual
57,18-1814943,11/04/2018,13:20,6000 BLOCK OF 40TH AVE,6B,anti-jewish
58,18-362645,11/13/2018,10:57,3500 BLOCK OF FLORIN RD,5B,anti-transgender
59,18-366200,11/16/2018,18:46,4200 BLOCK OF AUBURN BLVD,2A,anti-homosexual
60,18-4376982,11/27/2018,12:25,2900 BLOCK OF FREEPORT BLVD,4A,anti-homosexual
61,18-398190,12/17/2018,10:31,Y ST / ALHAMBRA BLVD,6A,anti-black
62,18-406846,12/25/2018,16:46,1900 BLOCK OF MIDDLEBERRY RD,2C,anti-black
63,19-14471,01/12/2019,2159,2200 BLOCK OF SANDCASTLE WAY,1B,anti-homosexual
64,19-1800931,01/22/2019,1230,300 BLOCK OF COUNTRY RIVER WAY,4C,anti-black
65,19-60002,02/25/2019,834,700 BLOCK OF 12TH ST,3M,anti-jewish
66,19-63022,02/27/2019,2257,TRUXEL RD / GATEWAY PARK BLVD,1A,anti-homosexual
67,19-1803457,03/15/2019,1500,2400 BLOCK OF CASTRO WAY,4A,anti-homosexual
68,19-1803545,03/16/2019,1135,4100 BLOCK OF CANBY WAY,4A,anti-homosexual
69,19-82158,03/17/2019,1530,TRUXEL RD / NATOMAS CROSSING DR,1A,anti-homosexual
70,19-87455,03/22/2019,1048,1700 BLOCK OF 16TH ST,3A,anti-white
71,19-1803925,03/26/2019,0,2800 BLOCK OF R ST,3B,anti-jewish
72,19-97249,03/30/2019,1957,3700 BLOCK OF MODELL WAY,2A,anti-muslim
73,19-106985,04/07/2019,2000,600 BLOCK OF 38TH ST,6D,anti-jewish
74,19-125642,04/23/2019,1948,7800 BLOCK OF CENTER PKWY,5C,unknown
75,19-170924,05/31/2019,2324,1900 BLOCK OF L ST,3B,anti-homosexual
76,19-212518,07/05/2019,820,6000 BLOCK OF MIDWAY ST,6C,anti-homosexual
77,19-221681,07/12/2019,1912,FOLSOM BLVD / NOTRE DAME DR,6E,anti-homosexual
78,19-1810959,08/06/2019,956,600 BLOCK OF 4TH AVE,4A,anti-homosexual
79,19-252520,08/06/2019,1906,1100 BLOCK OF C ST,3A,anti-homosexual
80,19-1811321,08/12/2019,950,600 BLOCK OF 5TH AVE,4A,anti-homosexual
81,19-278083,08/16/2019,1908,1900 BLOCK OF L ST,3B,anti-homosexual
82,19-281117,08/29/2019,1904,8100 BLOCK OF LA RIVIERA DR,6E,"anti-black
anti-jewish"
83,19-1812578,09/04/2019,1415,4500 BLOCK OF 14TH AVE,6A,anti-black
84,19-1813377,09/06/2019,2000,1500 BLOCK OF G ST,3A,anti-black
85,19-291981,09/07/2019,1813,7800 BLOCK OF SUMMERSDALE DR,5B,anti-physical disability
86,19-308057,09/21/2019,955,2000 BLOCK OF 29TH ST,3B,anti-transgender
87,19-1814838,10/11/2019,1705,WINDBRIDGE DR / GREEN MIST CT,4C,anti-asian
88,19-363382,11/08/2019,1650,600 BLOCK OF N ST,3A,anti-jewish
89,19-1816332,11/13/2019,1030,3300 BLOCK OF C ST,6D,anti-jewish
90,19-1816793,11/22/2019,1830,1600 BLOCK OF W EL CAMINO AVE,1B,anti-homosexual
91,19-386706,11/29/2019,1930,3300 BLOCK OF C ST,6d,anti-jewish
92,19-417357,12/29/2019,2052,100 BLOCK OF 45TH ST,6D,"anti-homosexual
anti-jewish"
93,19-1818679,12/31/2019,1557,3600 BLOCK OF TRUXEL RD,1A,anti-black
94,20-49675,02/14/2020,1000,STOCKTON BLVD / 9TH AVE,6B,"anti-multi-racial group
anti-multi-religion group"
95,20-52014,02/15/2020,1133,2400 BLOCK OF RIVERSIDE BLVD,4A,anti-multi-racial group
96,20-1803314,02/23/2020,1253,2500 BLOCK J ST,3B,"anti-black
anti-homosexual"
97,20-67842,02/28/2020,2000,1700 BLOCK OF 65TH AVE,5A,"anti-multi-racial group
anti-multi-religion group"
98,20-1803867,02/29/2020,955,1400 BLOCK OF 22ND ST,3B,anti-male homosexual (gay)
99,20-87622,03/18/2020,1612,800 BLOCK OF EL CAMINO AVE,2C,anti-black
100,20-92681,03/24/2020,630,5900 BLOCK OF LAGUNA RANCH CIR,5C,anti-male homosexual (gay)
